"pid","wdpa_pid","name","country_de","country_en","region","type","area_sqkm","mab","world_heritage","ramsar","ecosystem","pa_def","desig_eng","desig_type","iucn_cat","int_crit","marine","rep_m_area","gis_m_area","rep_area","gis_area","iso3","uid"
2717,"67744","Sierra de las Minas","Guatemala","Guatemala","Lateinamerika","Reserva de Biósfera ",2396.91,"Sierra de las Minas",NA,NA,"Wald",1,"UNESCO-MAB Biosphere Reserve","International","Not Applicable","Not Applicable",0,0,0,2210.51292287,2210.51292287,"GTM",NA
2718,"19995","Tinigua","Kolumbien","Colombia","Lateinamerika","National Park",2018.75,NA,NA,NA,"Wald",1,"Natural National Park","National","II","Not Applicable",0,0,0,2018.75,2158.00840157,"COL",NA
2719,"81060","Abrolhos","Brasilien","Brazil","Lateinamerika","National Park",913,"Mata Atlântica",NA,"Abrolhos Marine National Park","Küste",1,"Park","National","II","Not Applicable",2,879.54,883.069018019,879.536,883.851220514,"BRA",NA
2720,"342347","Área de Protección de flora y fauna Bala'an K'áax","Mexiko","Mexico","Lateinamerika","National Park",1284,NA,NA,"Área de Protección de flora y fauna Bala'an K'áax","Wald",1,"Flora and Fauna Protection Area","National","VI","Not Applicable",0,0,0,1283.90155,1289.8637408,"MEX",NA
2721,"351831","RESEX Terra Grande Pracuúba","Brasilien","Brazil","Lateinamerika","National Park",1946.95,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,1948.57,1961.7222571,"BRA",NA
2722,"31777","RESEX do Rio Ouro Preto","Brasilien","Brazil","Lateinamerika","National Park",2045.83,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,2046.32,2059.16240054,"BRA",NA
2723,"137","Sumapaz","Kolumbien","Colombia","Lateinamerika","National Park",1540,NA,NA,NA,"Wald",1,"Natural National Park","National","II","Not Applicable",0,0,0,1540,2232.28435029,"COL",NA
2724,"134","Cordillera de los Picachos","Kolumbien","Colombia","Lateinamerika","National Park",4447.4,NA,NA,NA,"Wald",1,"Natural National Park","National","II","Not Applicable",0,0,0,4447.4,2898.42674465,"COL",NA
2725,"33612","PE Guajara-Mirim","Brasilien","Brazil","Lateinamerika","PARQUE",2165.68,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,2050.49,2063.38450957,"BRA",NA
2726,"555576482","RDS Matupiri","Brasilien","Brazil","Lateinamerika","National Park",1790.83,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,1770.09,1781.8282189,"BRA",NA
2727,"351773","RESEX do Rio Jutai","Brasilien","Brazil","Lateinamerika","National Park",2755.33,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,2755.13,2773.55252263,"BRA",NA
2728,"351777","RESEX Auati-Paraná","Brasilien","Brazil","Lateinamerika","National Park",1469.51,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,1469.49,1479.21238709,"BRA",NA
2729,"351795","RB da Nascentes da Serra do Cachimbo","Brasilien","Brazil","Lateinamerika","National Park",3424.78,NA,NA,NA,"Wald",1,"Biological Reserve","National","Ia","Not Applicable",0,0,0,3421.96,3443.92389453,"BRA",NA
2730,"903016","Pantanos de Centla","Mexiko","Mexico","Lateinamerika","Reserva de la Biosfera",302.707,NA,NA,NA,"Wald",1,"UNESCO-MAB Biosphere Reserve","International","Not Applicable","Not Applicable",0,0,0,3027.06625,3045.72061058,"MEX",NA
2731,"42","RB do Lago Piratuba","Brasilien","Brazil","Lateinamerika","National Park",3570,NA,NA,NA,"Wald",1,"Biological Reserve","National","Ia","Not Applicable",0,8.75,13.6659956305,3924.68,3951.01001832,"BRA",NA
2732,"10845","EE de Jutaí-Solimões","Brasilien","Brazil","Lateinamerika","National Park",2842.85,NA,NA,NA,"Wald",1,"Ecological Station","National","Ia","Not Applicable",0,0,0,2895.14,2914.53869221,"BRA",NA
2733,"30628","Indio Maíz","Nicaragua","Nicaragua","Lateinamerika","Reserva Biológica",2639.8,"Indio Maíz",NA,NA,"Wald",1,"Biological Reserve","National","Not Reported","Not Applicable",0,0,1.42612029158,2639.8,3170.36690301,"NIC",NA
2734,"115769","PE Serra de Ricardo Franco","Brasilien","Brazil","Lateinamerika","ESEC",1586.21,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,1578.34,1587.65794039,"BRA",NA
2735,"352135","RESEX do Catuá Ipixuna","Brasilien","Brazil","Lateinamerika","RESEX",2174.86,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,2123.23,2137.41922195,"BRA",NA
2736,"351713","RESEX Riozinho da Liberdade","Brasilien","Brazil","Lateinamerika","National Park",3256.03,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,3249.01,3270.00987039,"BRA",NA
2737,"351748","PN Serra da Cutia","Brasilien","Brazil","Lateinamerika","National Park",2836.11,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,2834.99,2852.57261422,"BRA",NA
2738,"10795","RB do Gurupi","Brasilien","Brazil","Lateinamerika","National Park",3416.5,NA,NA,NA,"Wald",1,"Biological Reserve","National","Ia","Not Applicable",0,0,0,2711.81,2730.09938206,"BRA",NA
2739,"44","RB do Jaru","Brasilien","Brazil","Lateinamerika","National Park",3281.5,NA,NA,NA,"Wald",1,"Biological Reserve","National","Ia","Not Applicable",0,0,0,3468.6,3490.61914055,"BRA",NA
2740,"2553","Amistad","Costa Rica","Costa Rica","Lateinamerika","Parque Internacional",1905.13,NA,NA,NA,"Wald",1,"National Park","National","II","Not Applicable",0,0,0,1982.9311,1995.58963859,"CRI",NA
2741,"351767","RESEX do Lago Capanã Grande","Brasilien","Brazil","Lateinamerika","National Park",3041.46,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,3043.09,3063.16853296,"BRA",NA
2742,"352158","RDS Aripuanã","Brasilien","Brazil","Lateinamerika","RESEX",2242.91,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,2180.96,2195.02450263,"BRA",NA
2743,"351769","RESEX do Medio Juruá","Brasilien","Brazil","Lateinamerika","National Park",2869.33,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,2869.55,2888.57844613,"BRA",NA
2744,"133","Cocuy","Kolumbien","Colombia","Lateinamerika","National Park",3060,NA,NA,NA,"Hochgebirge",1,"Natural National Park","National","II","Not Applicable",0,0,0,3060,3082.2744918,"COL",NA
2745,"10826","EE Niquiá","Brasilien","Brazil","Lateinamerika","National Park",2866,NA,NA,NA,"Wald",1,"Ecological Station","National","Ia","Not Applicable",0,0,0,3064.01,3084.5955342,"BRA",NA
2746,"101457","Cañón de Santa Elena","Mexiko","Mexico","Lateinamerika","Área de Protección de Flora y Fauna",277.21,NA,NA,NA,"Wald",1,"Flora and Fauna Protection Area","National","VI","Not Applicable",0,0,0,2772.09721,2786.60879014,"MEX",NA
2747,"478422","RESEX do Rio Xingu","Brasilien","Brazil","Lateinamerika","National Park",3038.41,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,3030.02,3049.94529759,"BRA",NA
2748,"351712","PN da Serra do Pardo","Brasilien","Brazil","Lateinamerika","National Park",4453.92,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,4453.95,4483.38326817,"BRA",NA
2749,"132","Sierra Nevada de Santa Marta","Kolumbien","Colombia","Lateinamerika","National Park",3830,"Sierra Nevada de Santa Marta",NA,NA,"Hochgebirge",1,"Natural National Park","National","II","Not Applicable",0,0,0.00902393674484,3830,4039.59248859,"COL",NA
2750,"900668","Sierra Gorda","Mexiko","Mexico","Lateinamerika","Reserva de la Biosfera",383.567,NA,NA,NA,"Wald",1,"UNESCO-MAB Biosphere Reserve","International","Not Applicable","Not Applicable",0,0,0,3835.674487,3859.66023122,"MEX",NA
2751,"43","RB do Rio Trombetas","Brasilien","Brazil","Lateinamerika","National Park",3850,NA,NA,NA,"Wald",1,"Biological Reserve","National","Ia","Not Applicable",0,0,0,4077.55,4105.06368102,"BRA",NA
2752,"4891","EE do Jari","Brasilien","Brazil","Lateinamerika","National Park",2271.26,NA,NA,NA,"Wald",1,"Ecological Station","National","Ia","Not Applicable",0,0,0,2311.09,2326.69868204,"BRA",NA
2753,"107806","Ocampo","Mexiko","Mexico","Lateinamerika","Área de Protección de Flora y Fauna",344.238,NA,NA,NA,"Wald",1,"Flora and Fauna Protection Area","National","VI","Not Applicable",0,0,0,3442.38233,3454.09597878,"MEX",NA
2754,"31776","RESEX do Rio Cajari","Brasilien","Brazil","Lateinamerika","National Park",5017.71,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,59.0720053532,5323.97,5359.7909366,"BRA",NA
2755,"555576433","PE do Matupiri","Brasilien","Brazil","Lateinamerika","PARQUE",5137.47,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,5096.01,5129.8222169,"BRA",NA
2756,"33613","PE de Corumbiara","Brasilien","Brazil","Lateinamerika","ESEC",3840.55,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,3802.42,3825.41059135,"BRA",NA
2757,"41049","Kanuku Mountains","Guyana","Guyana","Lateinamerika","National Park",6110,NA,NA,NA,"Savanne",1,"Managed Resource Use Area","National","VI","Not Applicable",0,0,0,6102.36558361,6126.017722,"GUY",NA
2758,"41057_A","Shell Beach","Guyana","Guyana","Lateinamerika","National Park",1203,NA,NA,NA,"Küste",1,"Managed Resource Use Area","National","VI","Not Applicable",0,0,0,1198.78154123,1203.043892,"GUY",NA
2759,"33716","RESEX do Rio Paccás Novos","Brasilien","Brazil","Lateinamerika","RESEX",3429.04,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,3462.45,3484.01646332,"BRA",NA
2760,"2215","PN de Anavilhanas","Brasilien","Brazil","Lateinamerika","National Park",3500.18,"Amazônia Central","Central Amazon Conservation Complex",NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,3502.36,3525.8824157,"BRA",NA
2761,"131","Paramillo","Kolumbien","Colombia","Lateinamerika","National Park",4600,NA,NA,NA,"Wald",1,"Natural National Park","National","II","Not Applicable",0,0,0,4600,5071.48154592,"COL",NA
2762,"352138","RDS Uacari","Brasilien","Brazil","Lateinamerika","RDS",6329.49,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,6203.01,6243.99376656,"BRA",NA
2763,"478539","RDS do Juma","Brasilien","Brazil","Lateinamerika","RDS",5896.11,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,5807.82,5846.11597596,"BRA",NA
2764,"198351","PN Serra da Mocidade","Brasilien","Brazil","Lateinamerika","National Park",3509.6,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,3593.91,3617.68276996,"BRA",NA
2765,"18740","Tupiniquins","Brasilien","Brazil","Lateinamerika","National Park",17.28,NA,NA,NA,"Küste",1,"Ecological Station","National","Ia","Not Applicable",2,16.48,15.9754000223,17.277,17.3524917078,"BRA",NA
2766,"555576417","APA Marinha Litoral Centro","Brasilien","Brazil","Lateinamerika","National Park",38.23,NA,NA,NA,"Wald",1,"Environmental Protection Area","National","V","Not Applicable",2,4493.81,4529.41685065,4531.09,4552.58533811,"BRA",NA
2767,"351842","PE Chandless","Brasilien","Brazil","Lateinamerika","PARQUE",6953.03,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,6932.01,6989.74237827,"BRA",NA
2768,"351785","RESEX Riozinho do Anfrísio","Brasilien","Brazil","Lateinamerika","National Park",7363.41,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,7370.22,7419.29997858,"BRA",NA
2769,"555576387","APA Marinha Litoral Sul","Brasilien","Brazil","Lateinamerika","National Park",3651.97,NA,NA,NA,"Wald",1,"Environmental Protection Area","National","V","Not Applicable",2,3657.36,3684.02203891,3683.84,3699.82378662,"BRA",NA
2770,"555576393","RDS Rio Madeira","Brasilien","Brazil","Lateinamerika","RESEX",2831.17,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,2796.31,2814.84569574,"BRA",NA
2771,"555582979","Islas de la Bahía","Honduras","Honduras","Lateinamerika","National Park",6471.52,NA,NA,NA,"Meer",1,"Marine National Park","National","Not Reported","Not Applicable",2,6441.65865005,6305.36435597,6441.65865005,6481.56870871,"HND",NA
2772,"19484","Área de Proteção Ambiental Cananéia-Iguape-Peruíbe","Brasilien","Brazil","Lateinamerika","National Park",2023,NA,NA,NA,"Wald",1,"Environmental Protection Area","National","V","Not Applicable",0,2.85,121.176051858,2023.08,2031.97170041,"BRA",NA
2773,"555576236","RDS Igapó-Açu","Brasilien","Brazil","Lateinamerika","RESEX",3975.57,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,3946.16,3972.37713616,"BRA",NA
2774,"41014","Río Plátano","Honduras","Honduras","Lateinamerika","National Park",8323.32,"Río Plátano","Río Plátano Biosphere Reserve",NA,"Wald",1,"National Park","National","II","Not Applicable",0,0,447.837214222,8323.30123034,8367.36468865,"HND",NA
2775,"57","PN do Cabo Orange","Brasilien","Brazil","Lateinamerika","National Park",6190,NA,NA,"Cabo Orange National Park","Wald",1,"Park","National","II","Not Applicable",1,2196.14,2270.56615516,6573.28,6616.79384746,"BRA",NA
2776,"351830","RESEX do Rio Iriri","Brasilien","Brazil","Lateinamerika","National Park",3989.38,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,3989.81,4016.42894928,"BRA",NA
2777,"351776","RESEX Tapajós-Arapiuns","Brasilien","Brazil","Lateinamerika","National Park",6476.11,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,6742.05,6785.87489171,"BRA",NA
2778,"351818","PN do Jamanxim","Brasilien","Brazil","Lateinamerika","National Park",8526.16,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,8628.87,8686.0499082,"BRA",NA
2779,"101761","RDS do Rio Iratapuru","Brasilien","Brazil","Lateinamerika","RDS",8061.84,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,8735.77,8794.92709127,"BRA",NA
2780,"478419","PN Nascentes do Lago Jari","Brasilien","Brazil","Lateinamerika","National Park",8121.41,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,8127.42,8181.11699335,"BRA",NA
2781,"478421","RESEX Ituxi","Brasilien","Brazil","Lateinamerika","National Park",7769.4,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,7763.24,7813.32329938,"BRA",NA
2782,"351819","PN do Rio Novo","Brasilien","Brazil","Lateinamerika","National Park",5377.57,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,5380.89,5415.79429602,"BRA",NA
2783,"352156","PE do Sucunduri","Brasilien","Brazil","Lateinamerika","PARQUE",8083.12,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,7962.08,8012.67913679,"BRA",NA
2784,"130","Sierra de la Macarena","Kolumbien","Colombia","Lateinamerika","National Park",6300,NA,NA,NA,"Wald",1,"Natural National Park","National","II","Not Applicable",0,0,0,6300,6246.80318593,"COL",NA
2785,"30622","Cayos Miskitos","Honduras","Honduras","Lateinamerika","Reserva Biológica",13060.57,NA,NA,NA,"Meer",1,"Marine National Park","National","Not Reported","Not Applicable",2,9040.8595509,9037.2759276,9040.8595509,9048.70062663,"HND",NA
2786,"31752","RB do Uatumã","Brasilien","Brazil","Lateinamerika","National Park",9403.58,NA,NA,NA,"Wald",1,"Biological Reserve","National","Ia","Not Applicable",0,0,0,9385.91,9448.84378186,"BRA",NA
2787,"351786","RESEX Verde para Sempre","Brasilien","Brazil","Lateinamerika","National Park",12887.17,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,24.4315711106,12892.9,12979.6201965,"BRA",NA
2788,"31775","RESEX Chico Mendes","Brasilien","Brazil","Lateinamerika","National Park",9705.7,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,9314.59,9373.18500693,"BRA",NA
2789,"351758","Nascentes do Rio Parnaíba","Brasilien","Brazil","Lateinamerika","National Park",7243.24,NA,NA,NA,"Savanne",1,"Park","National","II","Not Applicable",0,0,0,7497.66,7545.21488155,"BRA",NA
2790,"351756","RESEX do Cazumbá-Iracema","Brasilien","Brazil","Lateinamerika","National Park",7507.95,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,7556.51,7591.84243947,"BRA",NA
2791,"478420","RESEX do Médio Purus","Brasilien","Brazil","Lateinamerika","National Park",6042.09,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,6042.26,6081.48395613,"BRA",NA
2792,"26621","Reserva de la Biósfera Maya","Guatemala","Guatemala","Lateinamerika","National Park",21602,"Reserva de la Biósfera Maya",NA,NA,"Wald",1,"UNESCO-MAB Biosphere Reserve","International","Not Applicable","Not Applicable",0,0,0,12786.8880783,12786.8880771,"GTM",NA
2793,"10830","EE Juami-Japurá","Brasilien","Brazil","Lateinamerika","National Park",5726.5,"Amazônia Central",NA,NA,"Wald",1,"Ecological Station","National","Ia","Not Applicable",0,0,0,8315.24,8371.20759821,"BRA",NA
2794,"352136","RDS Piagaçu-Purus","Brasilien","Brazil","Lateinamerika","RDS",10081.67,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,8009.07,8061.98875015,"BRA",NA
2795,"351832","RESEX Rio Unini","Brasilien","Brazil","Lateinamerika","National Park",8333.52,NA,NA,NA,"Wald",1,"Extractive Reserve","National","VI","Not Applicable",0,0,0,8496.86,8554.05595518,"BRA",NA
2796,"19275","PN da Serra do Divisor","Brasilien","Brazil","Lateinamerika","National Park",8466.33,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,8375.61,8429.90454737,"BRA",NA
2797,"351833","PN dos Campos Amazônicos","Brasilien","Brazil","Lateinamerika","National Park",9613.2,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,9613.11,9675.17659532,"BRA",NA
2798,"352202","RB de Maicuru","Brasilien","Brazil","Lateinamerika","ESEC",11517.61,NA,NA,NA,"Wald",1,"Biological Reserve","National","Ia","Not Applicable",0,0,0,11731.5,11809.7282037,"BRA",NA
2799,"95320","Mamirauá","Brasilien","Brazil","Lateinamerika","National Park",11240,NA,"Central Amazon Conservation Complex","Mamirauá","Wald",1,"Ramsar Site, Wetland of International Importance","International","Not Reported","(i)(ii)(iii)(iv)(v)(vii)(viii)",0,0,0,11240,11551.4993572,"BRA",NA
2800,"352139","RDS do Cujubim","Brasilien","Brazil","Lateinamerika","RDS",24503.82,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,24219.3,24379.487878,"BRA",NA
2801,"53","PN do Jaú","Brasilien","Brazil","Lateinamerika","National Park",22720,"Amazônia Central","Central Amazon Conservation Complex",NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,23673.4,23832.5187575,"BRA",NA
2802,"351839","PN do Juruena","Brasilien","Brazil","Lateinamerika","National Park",19570,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,19565.9,19694.8376159,"BRA",NA
2803,"352134","RDS do Amanã","Brasilien","Brazil","Lateinamerika","RDS",23500,NA,NA,NA,"Wald",1,"Sustainable Development Reserve","National","VI","Not Applicable",0,0,0,23034.6,23189.4800385,"BRA",NA
2804,"351711","EE da Terra do Meio","Brasilien","Brazil","Lateinamerika","National Park",33731.11,NA,NA,NA,"Wald",1,"Ecological Station","National","Ia","Not Applicable",0,0,0,33731.4,33954.2410188,"BRA",NA
2805,"351784","PN Montanhas do Tumucumaque","Brasilien","Brazil","Lateinamerika","National Park",38670,NA,NA,NA,"Wald",1,"Park","National","II","Not Applicable",0,0,0,38651.5,38911.8259957,"BRA",NA
2806,"107620","Cuenca Alimentadora del Distrito Nacional de Riego ","Mexiko","Mexico","Lateinamerika","Área de Protección de Flora y Fauna",1519385,NA,NA,NA,"Wald",1,"Natural Resources Protection Area","National","VI","Not Applicable",0,0,0,23290.26757,23417.6541059,"MEX",NA
2807,"352198","EE Grão Pará","Brasilien","Brazil","Lateinamerika","PARQUE",42458.19,NA,NA,NA,"Wald",1,"Ecological Station","National","Ia","Not Applicable",0,0,0,42036.9,42321.2661099,"BRA",NA
2808,"55544090","Sistema de Islas, Islotes y Puntas Guaneras","Peru","Peru","Lateinamerika","National Park",141,NA,NA,NA,"Küste",1,"National Reserve","National","VI","Not Applicable",2,1408.3347,1379.00150371,1408.3347,1416.70448319,"PER",NA
